ticket_id,title,description,category,priority,status,created_at,resolved_at,customer_id,resolution_hours
1,Login issue,Cannot login to the portal after password reset,Authentication,high,resolved,2024-01-15 09:30:00,2024-01-15 11:45:00,C001,2.25
2,Slow dashboard,Dashboard takes over 30 seconds to load,Performance,medium,resolved,2024-01-16 14:20:00,2024-01-17 10:00:00,C002,19.666666666666668
4,Cannot create new user,Admin panel throws error 500 when creating users,Administration,high,resolved,2024-01-20 16:45:00,2024-01-20 18:30:00,C004,1.75
5,Data mismatch,Numbers in report don't match raw data export,Reporting,medium,resolved,2024-02-01 10:00:00,2024-02-03 14:00:00,C005,52.0
6,Mobile app crash,App crashes on Android when opening notifications,Mobile,critical,resolved,2024-02-02 07:15:00,2024-02-02 09:00:00,C006,1.75
7,Password reset email delayed,Password reset emails arrive after 30+ minutes,Authentication,low,open,2024-02-05 11:30:00,,C007,
8,Feature request: dark mode,Would like dark mode support in the web app,Feature Request,low,open,2024-02-06 13:00:00,,C008,
9,API rate limit hit,Getting 429 errors during peak hours,Performance,high,resolved,2024-02-10 09:00:00,2024-02-10 15:30:00,C009,6.5
10,Billing page error,Billing page shows blank after latest update,Billing,critical,resolved,2024-02-12 08:00:00,2024-02-12 08:45:00,C010,0.75
11,Upload fails for large files,Files over 50MB fail to upload without error message,Performance,medium,open,2024-02-15 14:30:00,,C011,
12,Incorrect timezone,All timestamps show UTC instead of local time,Reporting,low,resolved,2024-02-18 10:00:00,2024-02-20 16:00:00,C012,54.0
13,SSO not working,SAML SSO returns invalid assertion error,Authentication,critical,resolved,2024-03-01 07:00:00,2024-03-01 08:30:00,C013,1.5
14,Notification spam,Receiving duplicate email notifications,Communication,medium,open,2024-03-03 16:00:00,,C014,
15,Search not returning results,Search bar returns empty for known items,Performance,high,resolved,2024-03-05 11:00:00,2024-03-05 14:00:00,C015,3.0
16,Account locked,Account locked after 3 failed attempts with no unlock option,Authentication,high,resolved,2024-03-08 09:30:00,2024-03-08 10:15:00,C016,0.75
18,Team member cannot see project,Permissions issue — new member has no access to shared project,Administration,medium,resolved,2024-03-12 15:00:00,2024-03-13 09:00:00,C018,18.0
19,Chart rendering issue,Pie charts overlap on smaller screens,Reporting,low,open,2024-03-15 10:30:00,,C019,
20,Critical outage,Entire platform unreachable for 15 minutes,Infrastructure,critical,resolved,2024-03-18 03:00:00,2024-03-18 03:22:00,C020,0.36666666666666664
21,Email template broken,Welcome emails show raw HTML tags,Communication,medium,resolved,2024-03-20 14:00:00,2024-03-21 11:00:00,C021,21.0
23,Calendar sync issue,Google Calendar integration stopped syncing events,Integration,medium,open,2024-03-25 08:00:00,,C023,
24,Two-factor auth issue,2FA codes rejected even when entered within time window,Authentication,high,resolved,2024-04-01 07:30:00,2024-04-01 09:00:00,C024,1.5
25,Report scheduling broken,Scheduled reports not being sent at configured times,Reporting,high,resolved,2024-04-03 06:00:00,2024-04-04 10:00:00,C025,28.0
26,API documentation outdated,REST API docs reference deprecated endpoints,Documentation,low,open,2024-04-05 13:00:00,,C026,
27,Webhook delivery failures,Webhooks failing with timeout for large payloads,Integration,medium,resolved,2024-04-08 10:00:00,2024-04-09 16:00:00,C027,30.0
28,Data import wizard crash,Import wizard crashes when CSV has special characters,Administration,high,resolved,2024-04-10 11:30:00,2024-04-10 15:00:00,C028,3.5
29,Mobile push not received,Push notifications not arriving on iOS 17,Mobile,medium,open,2024-04-12 09:00:00,,C029,
30,Payment processing delay,Credit card payments taking 5+ minutes to process,Billing,critical,resolved,2024-04-15 14:00:00,2024-04-15 14:45:00,C030,0.75
31,User deletion not working,Deleted users still appear in team list,Administration,medium,open,2024-04-18 10:00:00,,C004,
32,Audit log gaps,Some admin actions not appearing in audit log,Security,high,resolved,2024-04-20 08:00:00,2024-04-22 12:00:00,C031,52.0
33,Custom field validation,Custom fields accept invalid data formats,Administration,medium,resolved,2024-04-22 14:30:00,2024-04-23 09:00:00,C032,18.5
34,Session timeout too short,Users logged out after 5 minutes of inactivity,Authentication,low,open,2024-04-25 11:00:00,,C033,
35,Batch export fails,Exporting more than 1000 records times out,Reporting,high,open,2024-05-01 09:00:00,,C034,
